# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.642        0.000      192.570     2151.938
       0.647      191.300      192.570     2151.938
       0.652        0.000      193.148     2152.418
       0.657      222.400      194.359     2187.078
       0.661        0.000      197.457     2187.207
       0.666        0.000      198.410     2187.969
       0.671      218.100      199.363     2189.109
       0.675      221.900      199.875     2189.914
       0.680        0.000      201.250     2190.914
       0.684        0.000      201.520     2191.301
       0.689      217.500      201.520     2191.301
       0.693        0.000      202.031     2191.809
       0.698      207.300      203.238     2197.258
       0.703        0.000      203.648     2197.508
       0.707      218.300      204.238     2200.219
       0.712        0.000      204.574     2200.469
       0.716        0.000      205.344     2201.219
       0.721      223.100      205.859     2201.719
       0.725        0.000      205.859     2201.719
       0.730        0.000      205.859     2201.719
       0.734      216.600      205.859     2201.719
       0.739      217.500      206.523     2202.504
       0.744        0.000      207.297     2203.133
       0.748        0.000      207.555     2203.383
       0.753      222.000      207.934     2205.090
       0.757        0.000      207.934     2205.090
       0.762      221.700      208.523     2205.469
       0.766        0.000      209.039     2205.719
       0.771      220.200      209.504     2206.352
       0.775      220.700      209.609     2208.699
       0.780        0.000      209.941     2208.949
       0.784      209.000      210.711     2209.594
       0.789        0.000      210.969     2209.844
       0.794        0.000      211.484     2210.477
       0.798      219.100      211.742     2210.855
       0.803      221.200      212.641     2211.621
       0.807        0.000      212.641     2211.621
       0.812        0.000      212.926     2212.004
       0.816      216.600      213.180     2212.133
       0.821        0.000      213.180     2212.133
       0.826      220.400      213.180     2212.270
       0.830        0.000      213.695     2212.520
       0.835      222.500      213.953     2212.770
       0.839        0.000      213.953     2212.770
       0.844      222.200      214.090     2215.238
       0.848        0.000      214.516     2215.625
       0.853        0.000      214.777     2218.555
       0.857      218.300      217.230     2218.977
       0.862        0.000      217.746     2219.355
       0.867      214.100      218.254     2220.008
       0.871        0.000      218.762     2220.391
       0.876        0.000      219.273     2221.156
       0.880      219.000      219.531     2221.406
       0.885        0.000      219.531     2221.406
       0.890      205.100      219.531     2221.406
       0.895        0.000      219.531     2221.406
       0.900      203.900      219.531     2221.406
       0.905        0.000      219.531     2221.406
       0.909      216.300      220.043     2221.656
       0.914        0.000      220.043     2221.840
       0.918      220.800      220.043     2221.969
       0.923        0.000      220.301     2221.969
       0.927      221.300      220.301     2221.969
       0.932        0.000      220.559     2222.219
       0.936        0.000      220.707     2222.469
       0.941      220.200      220.957     2222.598
       0.946        0.000      221.426     2223.125
       0.951      218.900      221.680     2223.398
       0.955        0.000      222.344     2223.891
       0.960      221.300      223.684     2225.391
       0.964        0.000      224.188     2225.770
       0.969      221.400      224.297     2226.020
       0.973      212.900      224.637     2226.422
       0.978        0.000      224.699     2226.426
       0.983        0.000      226.172     2233.891
       0.987      207.500      233.855     2253.387
       0.992        0.000      237.414     2254.164
       0.997        0.000      238.906     2255.566
       1.002      417.800      240.316     2256.430
       1.007        0.000      240.934     2257.055
       1.011      415.100      241.824     2258.273
       1.016        0.000      242.664     2258.969
       1.021      402.600      243.566     2259.898
       1.026        0.000      244.840     2260.930
       1.031      407.300      246.145     2261.996
       1.036        0.000      247.047     2262.828
       1.040      208.200      247.504     2263.297
       1.045        0.000      247.918     2263.699
       1.050        0.000      247.918     2263.699
       1.055      206.000      248.582     2264.535
       1.060      208.700      249.094     2264.914
       1.064      210.900      249.668     2265.281
       1.069        0.000      250.645     2696.129
       1.074      206.700      252.898     2696.129
       1.079        0.000      254.977     2696.129
       1.084        0.000      256.207     2696.129
       1.089      210.700      256.207     2696.129
       1.093        0.000      256.207     2696.129
       1.098      205.400      268.145     2697.199
       1.103        0.000      273.832     4247.625
       1.108      204.600      282.238     4247.625
       1.113        0.000      283.434     4247.625
       1.118      209.600      283.434     4247.625
       1.122        0.000      283.434     4247.625
       1.127      207.700      283.434     4247.625
       1.132        0.000      283.434     4247.625
       1.137      209.900      286.152     4247.625
       1.142        0.000      292.398     4247.625
